,item_id,i_name,i_category,r_substitute,r_buy_together,r_complement
209,1217,7-Piece Original Dry Erase Organizer Kit,39,"[1770, 843, 1730, 1662, 1390, 1136, 1663, 5, 1637, 2168, 1821, 1013, 2370, 37]",[],"[1730, 1390, 963, 49, 494, 378, 1785, 1662, 1663, 1443, 1013, 966, 587, 997, 1694, 1807, 1136, 1637, 843, 484, 2116, 740, 2168, 736, 837, 139]"
210,1812,"Sharpie King Size Permanent Marker, 12 Black Markers(15001)",39,"[494, 516, 1215, 966, 1153, 1375, 1247, 119, 484, 769, 1322, 1216]",[],"[516, 1676, 115, 1375, 1934, 151, 494, 378, 1473, 2088, 164, 505, 2102, 1470, 966, 2087, 1357, 109, 1215, 587, 2078, 1807, 699, 1583, 1264, 421, 1322, 1540, 1396, 484, 2116, 769, 736, 1713, 1247, 1336, 139]"
211,1136,Expo 6 Piece Original Dry Erase Marker Starter Kit,39,"[1217, 1785, 843, 1730, 1662, 1390, 414, 1663, 5, 2086, 1637, 2168, 1821, 223, 1013, 837, 37]",[],"[903, 1730, 1390, 361, 5, 49, 494, 378, 1785, 1969, 1013, 966, 1134, 2078, 736, 223, 843, 243, 800, 1419, 484, 2116, 2168, 1217, 837, 850, 139]"
212,943,"Sharpie Fine Point Permanent Markers, 12 Colored Markers(30072)",39,"[845, 1350, 516, 1352, 2395, 1375, 2085, 119, 484, 769, 1363, 188, 1724, 1216, 1061, 1215, 1065]",[],"[516, 188, 124, 845, 494, 378, 139, 2088, 1329, 2395, 505, 407, 1216, 2087, 1357, 1635, 1215, 587, 2078, 1352, 944, 1807, 1481, 771, 1449, 1259, 1322, 1212, 1812, 1065, 2381, 800, 2237, 1396, 484, 2116, 769, 2168, 19, 1713, 1247, 454, 1934]"
213,2086,"Expo Low Odor Bullet Tip Dry Erase Markers, 12 Black Markers (82001)",39,"[843, 2300, 1662, 1390, 800, 774, 1136, 1663, 890, 5, 1637, 2168, 1821, 1217, 1013]",[],"[1980, 903, 1730, 115, 1390, 774, 5, 494, 505, 1662, 1663, 698, 2386, 1013, 966, 587, 2078, 2300, 890, 1637, 421, 1135, 800, 484, 1648, 2168, 1821, 139]"
214,115,"Swingline Standard Stapler, Eco Version, 15 Sheets, Black (S7054501)",31,"[234, 361, 124, 963, 494, 378, 1473, 139, 164, 633, 1260, 1704, 1056, 966, 1134, 587, 944, 699, 1583, 846, 421, 1322, 2381, 1107, 2237, 484, 1921, 19, 1335, 850, 1676]",[],"[361, 963, 1336, 49, 1309, 494, 378, 630, 1473, 2088, 505, 2005, 633, 1969, 966, 2087, 1167, 1944, 587, 1134, 1694, 2078, 1615, 1481, 1807, 998, 1008, 699, 1583, 850, 846, 421, 1235, 1322, 1212, 2381, 1107, 2237, 1396, 484, 2116, 769, 1343, 1976, 19, 736, 1921, 1713, 557, 589, 1676]"
215,516,"Sharpie 37001 Ultra Fine Point Permanent Markers, Black (Box of 12)",39,"[1350, 1375, 845, 494, 2395, 505, 1329, 1216, 1215, 1352, 859, 771, 1812, 1286, 1065, 484, 769, 1724, 1061, 1247, 2078]",[],"[1350, 840, 188, 49, 1628, 1464, 845, 494, 378, 2395, 505, 1662, 1260, 2231, 2386, 1216, 2087, 1357, 1215, 966, 1134, 2078, 2325, 1264, 1370, 1322, 1212, 2374, 1812, 1065, 484, 2116, 769, 2168, 1724, 551, 1648, 1327, 1061, 1247, 1336, 139]"
216,1056,"Stanley Bostitch Premium Standard Staples, 1/4 Inch Silver, 5,000 per box (SBS191/4CP)",31,"[378, 139, 944, 115, 1458, 1460, 2124, 633, 2237, 773, 1260, 1055, 124, 1921, 1373, 966, 1335, 1676]",[],"[115, 361, 49, 1628, 494, 378, 1473, 2088, 505, 1466, 407, 1460, 2124, 633, 1260, 2401, 966, 2087, 1167, 1357, 587, 1134, 2078, 1615, 944, 1807, 820, 1458, 699, 2325, 1583, 2271, 846, 421, 1322, 1373, 2381, 735, 484, 2116, 19, 736, 1713, 1368, 850, 139]"
217,1813,"Swingline High Capacity Desk Stapler, Reduced Effort, 60 Sheets, Black (S7077701)",31,"[378, 344, 1218, 820, 944, 164, 303, 652, 2124, 285, 773, 124, 1704, 590, 140, 1335, 244, 139]",[],"[1676, 115, 361, 124, 590, 151, 1628, 49, 494, 378, 1473, 164, 505, 2102, 407, 633, 966, 587, 1807, 1008, 699, 1264, 421, 1235, 1322, 1212, 140, 735, 1218, 1801, 2237, 773, 484, 2116, 769, 1921, 736, 303, 1335, 589, 139]"
218,1055,"Swingline S.F. 3 Premium Chisel Point Staples, 0.25 Inch Leg Length, 105 Count Half Strips, Silver, 5000 Staples per Box (S7035440)",31,"[1676, 115, 124, 963, 590, 378, 1473, 139, 164, 1466, 633, 1260, 1704, 1056, 966, 587, 344, 944, 846, 1218, 1921, 1335, 2078]",[],"[115, 361, 124, 1336, 313, 963, 49, 1628, 494, 378, 1473, 2088, 164, 505, 407, 633, 1704, 2401, 203, 2087, 1357, 1944, 109, 966, 587, 1134, 1713, 2078, 944, 1807, 699, 1583, 1264, 846, 421, 1322, 1212, 140, 735, 1396, 484, 2116, 1234, 769, 19, 736, 2214, 557, 589, 139]"
219,1212,"Liquid Paper Fast Dry Correction Fluid, 3 Pack(5643115)",39,"[1676, 1082, 1809, 1628, 494, 378, 505, 1877, 1969, 2078, 966, 1134, 1481, 699, 890, 1000, 1322, 243, 484, 2116, 769, 19, 2171, 1713, 139]",[],"[516, 1676, 115, 963, 49, 1628, 494, 378, 139, 1473, 2088, 505, 407, 633, 1260, 966, 2087, 1134, 587, 2078, 1481, 1807, 699, 2325, 1264, 846, 421, 1322, 2381, 1624, 2237, 1396, 484, 2116, 769, 19, 1921, 736, 1713, 557, 1368, 589, 1000]"
220,1218,"Swingline Optima High Capacity Staples, for 60/70 Sheets staplers, 3/8-Inch Leg Length, 125 per Strip, 2500 per Box (S7035550)",31,"[378, 344, 164, 1676, 140, 633, 773, 1055, 124, 1813, 590, 1056, 1921, 303, 1335, 244, 139]",[],"[1676, 361, 1401, 1813, 124, 590, 151, 49, 494, 378, 1473, 2088, 164, 54, 633, 966, 2087, 1357, 1635, 587, 344, 1807, 2325, 1264, 846, 1322, 1212, 140, 735, 2082, 2237, 773, 484, 2116, 769, 1921, 736, 1713, 1976, 1335, 589, 139]"
221,1458,"BOSTITCH STCRp2115 1/4 1/4 -Inch Leg, B8 Powercrown Staple (Pack of 5000)",31,"[378, 1218, 944, 1460, 652, 1260, 1055, 1056, 1921, 1676]",[],"[516, 1676, 2055, 49, 494, 378, 1378, 1460, 633, 1470, 1260, 1056, 966, 2087, 1357, 109, 1215, 587, 944, 699, 1583, 2271, 1264, 421, 1322, 1212, 140, 1812, 735, 1218, 652, 484, 769, 1976, 1921, 1713, 1247, 1335, 139]"
222,1810,"Tombow Mono Correction Tape, Non-Refillable, 0.16 x 394 Inches, White Tape, 2 per Pack (68627)",39,"[494, 1713, 1134, 903, 505, 34, 407, 484, 1297, 1000, 421, 1212, 49, 1357, 1934]",[],"[2092, 516, 115, 273, 361, 963, 1628, 49, 1309, 494, 378, 1473, 505, 89, 407, 1211, 633, 1055, 594, 966, 2087, 1357, 109, 587, 487, 1134, 734, 1132, 699, 2325, 1583, 1000, 1264, 1370, 1780, 421, 850, 1322, 1212, 1057, 220, 1540, 1462, 1139, 1396, 484, 2116, 769, 19, 1921, 736, 1713, 589, 139]"
223,944,"Stanley Bostitch Contemporary Full Strip Stapler, Black (02257)",31,"[115, 234, 1813, 124, 590, 963, 378, 1473, 139, 164, 633, 1260, 1056, 1704, 587, 820, 846, 1373, 1910, 773, 1921, 303, 1335, 1676]",[],"[1398, 516, 1317, 1676, 361, 124, 963, 49, 494, 378, 630, 1473, 2088, 505, 407, 633, 1260, 1056, 966, 2087, 1357, 1944, 587, 1694, 1134, 1713, 2078, 1807, 998, 699, 2325, 1583, 1264, 846, 421, 1235, 1322, 1212, 2099, 2381, 735, 1107, 2237, 1396, 484, 2116, 769, 1343, 1976, 1921, 736, 19, 2214, 1247, 1335, 850, 139]"
224,234,"Swingline Standard Stapler Value Pack, Includes Stapler, 5000 Count Staples and Staple Remover, Black (S70754551H)",31,"[1398, 115, 774, 124, 963, 1628, 494, 378, 1473, 630, 633, 245, 1260, 1704, 966, 587, 1694, 944, 2058, 846, 1322, 1910, 843, 1107, 2237, 1419, 1335, 139]",[],"[1398, 1676, 115, 1730, 361, 963, 1204, 1628, 49, 494, 378, 630, 1473, 505, 2102, 407, 633, 1297, 745, 966, 2078, 587, 1134, 487, 1807, 998, 1159, 699, 1636, 1583, 850, 1264, 846, 421, 1322, 1107, 2333, 47, 2237, 1419, 484, 2116, 769, 19, 736, 2349, 557, 589, 139]"
225,633,"Swingline Deluxe Staple Remover, Extra Wide, Steel Jaws, Black (S7038101)",31,"[115, 361, 124, 963, 590, 494, 378, 1473, 139, 164, 1260, 1704, 966, 1134, 587, 944, 699, 846, 421, 1322, 140, 2099, 735, 1218, 1107, 2237, 484, 1343, 19, 850, 1676]",[],"[2239, 1398, 1676, 115, 361, 1813, 124, 590, 313, 963, 1336, 49, 494, 378, 630, 1473, 164, 505, 1728, 1055, 1704, 1969, 745, 966, 2078, 587, 1134, 1694, 1615, 1807, 998, 1008, 699, 2325, 1583, 850, 1264, 846, 421, 1235, 1616, 1322, 140, 2099, 2381, 735, 1218, 1107, 1321, 484, 2116, 1343, 769, 19, 1921, 736, 1713, 557, 589, 139]"
226,1457,"Pilot Razor Point Marker Stick Pens, Extra Fine Point, Black Ink, Dozen Box (11001)",39,"[1453, 1804, 1133, 1731, 2091, 1641]",[],"[494, 516, 1215, 1804, 505, 484, 1133, 795, 2116, 124, 421, 1264, 850, 1713, 2091, 49, 1134, 589]"
227,793,"Swingline Tot Stapler, Built-in Staple Remover, 12 Sheets, Assorted Colors (S7079141)",31,"[378, 1481, 115, 243, 245, 1260, 124, 1704, 19, 1134, 1910, 139]",[],"[1050, 903, 115, 1082, 1228, 361, 124, 1464, 494, 378, 1150, 1473, 2372, 505, 34, 1969, 966, 1134, 317, 1481, 1925, 1636, 890, 82, 842, 1624, 1048, 243, 800, 865, 484, 2116, 19, 1921, 557, 1755, 139]"
228,1215,"Sharpie Extra Fine Permanent Markers, 1 Box (12 Black Marker (35001))",39,"[845, 1350, 516, 2222, 2395, 1457, 1375, 859, 771, 1247, 484, 2231, 1724, 1061, 1286, 1065]",[],"[1350, 516, 1082, 840, 1336, 1309, 845, 494, 378, 1473, 2088, 2395, 1329, 505, 633, 2231, 1216, 1635, 1357, 966, 587, 2078, 1807, 859, 771, 1933, 2325, 1583, 1264, 421, 1322, 1212, 1065, 1396, 484, 2116, 769, 2168, 1724, 736, 1061, 1247, 589, 139]"
229,1327,"BIC Round Stic Ball Pens, Medium Point, Red, 10 Pens",39,"[494, 1050, 2359, 903, 505, 243, 890, 2058, 1969, 2168, 2386, 2075, 1134, 1464, 1324]",[],"[1050, 1980, 516, 903, 215, 1228, 1468, 1324, 2075, 49, 1464, 494, 378, 505, 206, 1969, 2386, 966, 2087, 1134, 587, 1481, 1925, 859, 890, 421, 1322, 1212, 842, 1540, 1624, 1135, 243, 484, 2116, 769, 2168, 19, 557, 2078]"
230,2087,"Highland 6539 Self-Stick Notes, 1-3/8-Inch by 1-7/8-Inch, Yellow, 100 Sheets per Pad (12 Pack)",25,"[903, 1628, 494, 378, 1473, 2088, 505, 89, 966, 1635, 587, 1134, 890, 421, 1322, 1540, 2381, 1624, 243, 484, 2116, 769, 2168, 2214]",[],"[516, 1676, 115, 1228, 361, 963, 313, 1336, 151, 1628, 49, 494, 378, 139, 1473, 2088, 505, 407, 1470, 1260, 966, 1635, 1357, 1134, 587, 2078, 1807, 699, 2325, 890, 1264, 421, 1322, 1212, 1540, 2381, 1624, 243, 800, 2237, 484, 769, 2168, 551, 1921, 736, 19, 1713, 557, 850, 1934]"
231,2088,"Highland Notes, 3 x 3-Inches, Yellow, 18-Pads/Pack",25,"[494, 378, 1635, 1807, 89, 2214, 1540, 484, 2116, 769, 421, 1322, 1713, 966, 1628, 2381, 2087, 2078]",[],"[516, 1676, 115, 361, 963, 1336, 151, 49, 494, 378, 139, 1473, 505, 407, 1260, 966, 2087, 1357, 1635, 109, 587, 1134, 1713, 2078, 1807, 1159, 699, 2325, 850, 2271, 846, 1264, 421, 1322, 2381, 2237, 1396, 484, 769, 1234, 1921, 736, 2214, 589, 1934]"
232,2090,"uni-ball Impact RT Retractable Bold Point Gel Pens, 12 Black Ink Pens (65870)",39,"[1347, 674, 2089, 1692, 1534]",[],"[1804, 2348, 49, 494, 1631, 1263, 1635, 1357, 1944, 674, 1692, 2325, 1066, 1979, 2190, 1322, 2273, 484, 769, 2116, 1713, 1378, 2078]"
233,2089,"uni-ball Gel Grip Stick Medium Point Gel Pens, 12 Black Ink Pens(65450)",39,"[1804, 1347, 674, 1692, 2090]",[],"[516, 1804, 590, 313, 49, 439, 494, 378, 139, 2102, 407, 206, 966, 1635, 1807, 674, 1692, 1583, 850, 1370, 421, 1322, 842, 484, 2090, 1234, 2116, 769, 736, 1247, 589, 1000]"
234,120,"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens, Extra Fine Point, Black,  Box of 12 (31002)",39,"[494, 1457, 2273, 1365, 674, 573, 484, 1297, 1688, 2091, 1641, 1336]",[],"[1050, 516, 903, 1676, 115, 124, 1336, 1509, 49, 803, 378, 139, 1473, 2088, 505, 89, 633, 53, 1055, 206, 1969, 966, 1635, 1215, 587, 1694, 1134, 1453, 2078, 1481, 1807, 1925, 1365, 2325, 2291, 573, 1000, 2058, 421, 1322, 1641, 2273, 2237, 484, 2116, 769, 736, 557, 589, 1934]"
235,2091,"Pilot Precise P-500 Gel Ink Rolling Ball Pens, Extra Fine Point, Black Ink, Dozen Box (38600)",39,"[2293, 1457, 1804, 1903, 1365, 1641]",[],"[516, 1332, 49, 378, 2315, 1133, 1051, 1215, 1635, 966, 147, 1457, 2293, 2083, 1903, 699, 421, 2009, 2237, 484, 1676]"
236,1057,"Post-it Flags, Assorted Primary Colors, 1/2-Inch Wide, 35/Dispenser, 4-Dispensers/Pack",22,"[2092, 1150, 76, 121, 20, 2088, 2099, 1550, 1228, 2017, 769, 2190, 1322, 1758, 966, 1628, 1134, 589]",[],"[2092, 1398, 215, 115, 1228, 1758, 1628, 49, 1309, 121, 378, 1150, 1378, 20, 2088, 1473, 505, 89, 407, 633, 53, 2078, 2087, 1635, 966, 1134, 587, 1807, 699, 1636, 2291, 2325, 850, 2017, 1264, 2190, 114, 421, 1322, 1540, 484, 2116, 769, 19, 736, 2214, 557, 589, 139]"
237,794,"Expo Low Odor Chisel Tip Dry Erase Markers, 12 Red Markers (80002)",39,"[1980, 903, 1390, 774, 5, 505, 1662, 1663, 1013, 2359, 1136, 890, 2086, 1637, 1135, 843, 243, 800, 484, 769, 2168, 1648, 1821, 1217, 2078]",[],"[1980, 516, 903, 1390, 774, 1468, 5, 1367, 1464, 494, 575, 505, 1662, 2386, 1013, 1134, 2359, 890, 1637, 1135, 243, 800, 484, 769, 1648, 2168, 1821, 1217, 2078]"
238,1002,"Post-it Tabs with On-the-Go Dispenser, 1-Inch Solid, Red, Yellow, Blue, 22-Tabs/Color, 66-Tabs/Dispenser",22,"[294, 1150, 1629, 76, 20, 27, 1550, 229, 1228, 2017, 769, 1769, 1758, 121, 589]",[],"[76, 1228, 840, 1769, 1758, 121, 49, 439, 1309, 494, 378, 1150, 1629, 20, 1137, 1617, 53, 966, 1134, 294, 1550, 859, 1636, 1264, 1086, 421, 2237, 484, 769, 733, 1713, 557, 589, 2078]"
239,1459,Post-it Notes in Neon Colors -- 1&amp;3/8in X 1&amp;7/8 -- 12 pads. 100 sheets/pad.,25,"[2092, 378, 494, 2088, 1635, 89, 589, 484, 2116, 769, 1322, 2214, 966, 1628, 1134, 2087, 2078]",[],"[2092, 516, 903, 1676, 115, 1228, 361, 963, 1800, 49, 1628, 1815, 494, 378, 1473, 2088, 505, 2102, 89, 1662, 1260, 966, 1635, 1167, 1357, 109, 1134, 587, 1713, 2078, 1807, 699, 2325, 890, 1264, 1322, 1212, 1624, 243, 2237, 484, 2116, 769, 2168, 19, 1921, 2214, 1378, 589, 139]"
240,1460,Stanley  Bostitch Electric Full Strip 25 Sheet Capacity Stapler  Impulse Drive(TM) 25.  (02210),31,"[378, 344, 164, 1458, 1056, 124, 590, 1704]",[],"[1676, 1934, 576, 124, 283, 494, 365, 282, 378, 1473, 1260, 1056, 1357, 587, 344, 1159, 1458, 699, 1933, 1449, 421, 672, 1322, 1645, 735, 484, 1333, 769, 850, 139]"
241,1219,Swingline Deluxe Gray Heavy Duty Stapler (S7039002R),31,"[378, 344, 1218, 164, 652, 2124, 124, 1813, 590, 1373, 140, 244, 139]",[],"[2092, 1676, 267, 1376, 361, 1813, 124, 590, 963, 49, 1628, 494, 378, 2088, 633, 1055, 1260, 2078, 587, 1694, 1807, 699, 1583, 1264, 846, 421, 1322, 1373, 140, 2099, 622, 735, 1218, 2237, 484, 769, 1976, 736, 1713, 1378, 850, 139]"
242,1058,"HP Office Quickpack Paper, 92 Brightness, 8.5 x 11 Inches, 2500 Sheets (11210-3)",25,"[1582, 2160, 2102, 1257, 273, 1066, 1461, 447, 49, 1368, 487, 947]",[],"[1514, 124, 963, 151, 49, 494, 378, 1473, 2160, 407, 1103, 1297, 1260, 112, 2101, 966, 2087, 1357, 487, 2376, 1807, 1819, 699, 1264, 421, 1322, 1212, 47, 1111, 1396, 484, 2116, 769, 19, 1921, 736, 1713, 557, 850, 2078]"
243,1461,Hammermill Laser Print Paper - 8 1/2'' x 11'' Letter Size - White - 24# - 98 Brightness - 500 sheet Ream,25,"[1819, 1257, 1058, 2202, 1066, 2161, 447, 1222, 49, 1368, 947]",[],"[1918, 1676, 1752, 1593, 2161, 447, 313, 1222, 151, 947, 49, 2186, 378, 2088, 2160, 54, 89, 407, 1231, 2202, 966, 109, 392, 1457, 1807, 1819, 699, 1066, 86, 2325, 1264, 1138, 421, 1817, 1322, 220, 47, 1257, 484, 1234, 1368, 139]"
244,945,"Velcro Industrial Strength Sticky-Back Hook &amp; Loop Fasteners, Black, 2inX15 Foot Roll (VEK90197)",35,"[838, 844, 256, 1166]",[],"[838, 844, 1166]"
245,2092,"Post-it&reg; Page Markers, 1/2-inch x 1-3/4 Inch, Ideal for Temporary Marking and Noting In Books, Assorted Ultra Colors, 500 per Pack",22,"[1628, 1150, 76, 2378, 9, 229, 1550, 1228, 2017, 53, 1057, 2116, 2190, 41, 2214, 121, 1134, 589]",[],"[516, 76, 115, 1228, 361, 1758, 1628, 49, 494, 378, 1150, 2088, 505, 2102, 89, 34, 633, 53, 966, 2087, 1134, 587, 1481, 1807, 1550, 699, 2017, 850, 1264, 1370, 421, 1322, 484, 2116, 769, 9, 736, 2214, 589, 2078]"
246,1814,"Prismacolor Premier Ebony Graphite Sketching Pencil, Jet Black, Extra Smooth, Dozen - 14420",39,"[1010, 753, 654, 1233, 1455]",[],"[1010, 1672, 753, 1455, 1849, 1906, 999, 654, 1233, 1544, 1623, 1053]"
247,770,"Canon Matte Photo Paper, 8.5 x 11 Inches, 50 Sheets (7981A004)",25,"[952, 1610, 1493, 549]",[],"[269, 1493, 1035, 267, 2028, 447, 586, 530, 444, 49, 615, 224, 1611, 281, 747, 430, 496, 1437, 369, 237, 187, 168, 514, 2396, 1346, 941, 1436, 826, 549]"
248,492,"Columbian CO645 6x9-Inch Catalog Brown Kraft Envelopes, 500 Count",16,"[1322, 494, 1807, 1394, 734, 407, 2227, 1817, 2271, 2093, 421, 2101, 1509, 966]",[],"[516, 1676, 460, 1141, 840, 590, 313, 1509, 151, 49, 494, 378, 139, 1473, 2088, 505, 2102, 407, 2227, 1470, 112, 2101, 2078, 2087, 1357, 1635, 109, 966, 1323, 1807, 1159, 699, 1370, 1817, 1322, 1212, 47, 2237, 484, 2116, 769, 19, 736, 1713, 1976, 1934]"
249,844,"VELCRO U.S.A. INC &quot;Get A Grip&quot; Velcro, 3/4-Inch 12-Feet, Black (VEK90340)",35,"[1366, 945, 838, 1682, 1166]",[],"[108, 1047, 1528, 963, 945, 838, 1682]"
250,1815,"Post-it Notes, 3 x 3-Inches, Canary Yellow, 4-Pads/Pack",25,"[2359, 1624, 2088, 903, 89, 243, 890, 2116, 1969, 2168, 1204, 659, 2386, 1367, 1464]",[],"[903, 2282, 215, 1204, 1367, 49, 1464, 378, 505, 89, 1969, 2386, 1635, 1134, 2359, 859, 890, 421, 1924, 1811, 1624, 1048, 735, 243, 800, 1504, 484, 769, 2168, 1648, 19, 659, 1139, 2078]"
251,2093,"Columbian CO755 6x9-Inch Clasp Brown Kraft Envelopes, 100 Count",16,[],[407],"[1918, 516, 1514, 115, 460, 273, 963, 313, 1336, 1628, 49, 494, 378, 505, 89, 407, 1211, 1297, 112, 966, 1357, 1018, 109, 587, 487, 1713, 1807, 734, 699, 2271, 1370, 1264, 421, 1322, 1812, 1462, 941, 47, 543, 2237, 484, 2116, 1234, 769, 736, 537, 2214, 557, 1368, 589, 139]"
252,2094,"Avery Quarter-Fold Greeting Cards for Inkjet Printers, 4.25 x 5.5 inches, White, Pack of 20 (3266)",25,[],[],[]
253,1328,"Avery Self-Adhesive Laminating Sheets, 9 x 12 Inches, Box of 50 (73601)",27,"[908, 1965, 191, 2071, 393, 1098, 94, 635, 1501, 1075, 664, 665]",[],"[592, 494, 2088, 1807, 505, 2071, 941, 393, 840, 1396, 484, 733, 846, 1448, 139]"
254,433,"Avery Foil Mailing Labels, 3/4 x 2-1/4, Gold, 300/Pack, PK - AVE8987",22,"[1447, 335, 320, 460, 133, 112, 142]",[],"[1447, 2068, 516, 320, 47, 460, 249, 133, 75, 142, 112, 335, 421, 304, 109, 392]"
255,93,"Scotch Super Strength Packaging Tape, 1.88 Inch x 38.2 Yards (3850S-RD)",16,"[2252, 1467, 60, 2097, 62, 171, 47, 1232, 1011, 1274, 2319, 19, 1265, 254, 49, 220]",[],"[2252, 171, 1232, 49, 220]"
256,62,"Scotch Tear-by-Hand Tape, 1.88 Inches x 50 Yards, 2-Pack (3842-2)",16,"[171, 47, 1274, 2319, 220]",[],"[1965, 516, 1467, 1232, 1509, 49, 222, 407, 1088, 1312, 1215, 939, 171, 699, 1274, 220, 1048, 47, 484, 19, 9, 1247]"
257,357,"Avery Adhesive Name Badges, 2.33 x 3.375 inches, White, Pack of 160 (08395)",22,"[1900, 2039, 1625, 1816, 112, 304]",[],"[516, 115, 460, 840, 1800, 49, 494, 378, 1662, 112, 349, 109, 249, 1264, 421, 1322, 941, 47, 1396, 484, 2116, 557, 1368, 454]"
258,2095,"Avery Self-Adhesive Removable Labels, 1-Inch Diameter, White, Pack of 600 (05410)",22,"[320, 1759, 393, 368, 334, 1816, 112, 2350, 335, 304]",[],"[1447, 320, 368, 1759, 382, 75, 1816, 112, 2350, 335, 1215, 304]"
259,1816,"Avery Self-Adhesive Removable Labels, 3 x 4 Inches, White, 80 per Pack (05453)",22,"[2039, 9, 1759, 460, 393, 1625, 2095, 112, 2350, 382, 304]",[],"[1153, 1232, 1881, 49, 304, 378, 1625, 1331, 1216, 254, 1666, 1807, 939, 1759, 859, 771, 421, 2350, 382, 220, 47, 543, 2095, 484, 2116, 19, 9, 736, 1247]"
260,407,"Columbian CO128 (#10) 4-1/8x9-1/2-Inch Security Tinted White Envelopes, 500 Count",16,"[2186, 1462, 1952, 946, 734, 1394, 1141, 1160, 1, 421, 2101, 1509, 966, 49]",[],"[1676, 1160, 963, 313, 151, 49, 494, 378, 2088, 505, 2102, 112, 2101, 1231, 966, 2087, 1357, 1277, 109, 587, 2078, 1807, 1394, 1159, 699, 2271, 1370, 846, 421, 1264, 1322, 1212, 2237, 1396, 484, 2116, 19, 1921, 736, 1713, 1378, 1368, 1336, 139]"
261,2096,"Columbian CO298 Greeting Card Envelopes, 5-3/4&quot; x 8-3/4&quot; A9 White (Box of 100)",16,"[946, 1611, 1516, 941, 1644, 2227, 2028, 1465, 960, 355]",[],"[1493, 946, 1611, 893, 407, 1516, 941, 1644, 75, 1465, 960, 112, 355, 1652, 49]"
262,946,"Columbian CO198 Invitation Envelopes A2 4-3/8 x 5-3/4 Inches, White (Box of 100)",16,"[1516, 734, 407, 1160, 2096, 2028, 960, 1509, 1652]",[],"[1447, 516, 893, 2028, 1509, 1800, 2186, 1611, 407, 2096, 1470, 960, 112, 2101, 142, 745, 1018, 109, 1394, 75, 1370, 1624, 941, 1644, 1396, 484, 557, 263]"
263,2098,Pentel 0.5mm Red Lead Tube of 12,39,"[1683, 1512, 2076, 493, 23, 1678, 848]",[],"[2301, 1683, 1643, 1512, 2009, 2076, 493, 23, 1678, 2261, 907, 848]"
264,2097,"Tartan Shipping Packaging Tape, Clear , 1.88 x 54.6 Yards (3710-DC)",16,"[1863, 60, 171, 47, 852, 543, 1011, 1274, 2319, 551, 260, 254, 220]",[],"[1660, 1232, 1258, 1881, 49, 1473, 505, 2397, 1088, 1060, 254, 1274, 466, 220, 484, 19, 551, 263, 850]"
265,171,"Scotch Heavy Duty Shipping Packaging Tape, 1.88 Inches x 54.6 Yards, 6-Rolls (3850-6)",16,"[1863, 1467, 62, 852, 48, 2252, 1331, 1011, 254, 60, 185, 2097, 939, 1274, 1265, 220, 2170, 47, 543, 93, 2319]",[],"[516, 1467, 38, 1379, 1232, 1800, 1881, 49, 1889, 1421, 48, 378, 1473, 1088, 1331, 1206, 1231, 254, 1357, 109, 1080, 939, 699, 1274, 1264, 846, 1812, 220, 2170, 941, 47, 484, 1247, 454]"
266,1817,Columbian White 9 x 12 Inch Catalog Grip-Seal Closure Envelopes 100 Count (CO920),16,"[1462, 1807, 1394, 152, 407, 460, 2227, 958, 550, 960, 2271, 1009, 1322, 2101, 109]",[],"[115, 460, 840, 1336, 313, 151, 1800, 1628, 49, 439, 494, 378, 1473, 2102, 407, 1625, 356, 2227, 960, 112, 966, 1635, 1357, 109, 587, 2078, 1807, 1264, 1370, 421, 1322, 2381, 1462, 47, 2237, 484, 2116, 1234, 769, 736, 1378, 589, 1676]"
267,2099,"Post-it Pop-up Notes Dispenser for 3 x 3-Inch Notes, Black Dispenser, Includes Canary Yellow Notes",11,"[1473, 317, 399, 15, 633, 424, 2116, 1343, 2190, 659, 587, 850]",[],"[115, 361, 124, 963, 49, 494, 378, 1473, 633, 966, 2078, 1357, 109, 587, 1694, 944, 1807, 998, 699, 2325, 1583, 850, 1264, 2190, 846, 421, 1235, 1322, 1212, 1107, 2237, 484, 2116, 1343, 769, 736, 1713, 589, 139]"
268,2100,HP OfficeJet 7130 All-in-One Multifunction,0,[],[],[]
269,1137,"Acco Metal Book Rings, 1in Diameter, 100 Rings Per Box (ACC72202)",35,[],[],"[1980, 516, 2005, 94, 635, 1208, 2078, 2205, 2374, 908, 735, 1743, 1928, 800, 941, 1801, 865, 484, 733, 1139, 557, 263, 665]"
270,1059,"Neenah Astrobrights Premium Color Paper, 24 lb, 8.5 x 11 Inches, 500 Sheets, Cosmic Orange",25,"[545, 1918, 957, 1697]",[],"[1918, 893, 49, 1697, 494, 378, 635, 2087, 109, 1018, 1807, 2219, 2325, 1264, 1322, 1212, 957, 941, 1644, 484, 769, 1713, 1368, 1676]"
271,734,"Columbian CO196 (#10) 4-1/8x9-1/2-Inch White Envelopes, 100 Count",16,"[2186, 1462, 1952, 946, 1394, 407, 1141, 1160, 1, 447, 19, 421, 2101, 1509, 966, 49]",[],"[115, 1141, 1160, 447, 963, 49, 494, 378, 1473, 505, 407, 633, 2227, 1297, 112, 1060, 966, 2087, 1167, 1944, 587, 1134, 2078, 1807, 2083, 1394, 699, 846, 421, 1322, 220, 1624, 243, 47, 1419, 484, 2116, 19, 736, 1713, 1336, 139]"
